material,metric,n,mean,std,ci_low,ci_high,prime_max_val,jitter_percent,winsor
LaH10,kappa,500,0.0020717100972,0.003621611754735698,0.0,0.012778772499999999,7919,5.0,400.0
LaH10,C_AB,500,1.9960088799999998,0.2786064578884445,1.472418,2.524011,7919,5.0,400.0
MgB2,kappa,500,0.0061248931842,0.023186379847490682,0.0,0.06166703249999998,7919,5.0,400.0
MgB2,C_AB,500,1.67750714978,1.010878821422831,0.11896045000000001,3.8116169999999987,7919,5.0,400.0
2H-NbSe2,kappa,500,0.012890412866639998,0.10899902428887362,0.0,0.08194219499999983,7919,5.0,400.0
2H-NbSe2,C_AB,500,1.31978248182,0.951660301767667,0.070949125,3.6969095,7919,5.0,400.0
FeSe,kappa,500,0.0012974591472,0.006581551590835146,0.0,0.010799862249999959,7919,5.0,400.0
FeSe,C_AB,500,1.37111161604,0.9915565436569787,0.07089089250000002,3.730671999999999,7919,5.0,400.0
Helium-3 (He-3) B-phase,kappa,500,0.0,0.0,0.0,0.0,7919,5.0,400.0
Helium-3 (He-3) B-phase,C_AB,500,192.45710641,96.61343000940661,14.453510000000001,387.33392499999997,7919,5.0,400.0
Helium-4 (He-4),kappa,500,0.36412175407,7.348519473319467,0.0,0.281295225,7919,5.0,400.0
Helium-4 (He-4),C_AB,500,0.19178897593760003,0.13171212036069166,0.012520880000000002,0.47495444999999964,7919,5.0,400.0
